instance_name	LB	OPT
class2_20_5_0	5	5
class2_20_5_1	5	5
class2_20_5_2	5	5
class2_20_5_3	5	5
class2_20_5_4	5	5
class2_20_5_5	5	5
class2_20_5_6	5	5
class2_20_5_7	5	5
class2_20_5_8	5	5
class2_20_5_9	5	5
class2_40_5_0	9	9
class2_40_5_1	9	9
class2_40_5_2	9	9
class2_40_5_3	9	9
class2_40_5_4	9	9
class2_40_5_5	9	9
class2_40_5_6	9	9
class2_40_5_7	10	10
class2_40_5_8	9	9
class2_40_5_9	10	10
class2_60_5_0	14	14
class2_60_5_1	15	15
class2_60_5_2	15	15
class2_60_5_3	13	13
class2_60_5_4	13	13
class2_60_5_5	13	13
class2_60_5_6	13	13
class2_60_5_7	14	14
class2_60_5_8	13	13
class2_60_5_9	13	13
class2_120_5_0	26	-1
class2_120_5_1	28	28
class2_120_5_2	25	25
class2_120_5_3	26	26
class2_120_5_4	26	26
class2_120_5_5	27	27
class2_120_5_6	26	-1
class2_120_5_7	26	26
class2_120_5_8	26	26
class2_120_5_9	26	26
class2_250_5_0	54	-1
class2_250_5_1	55	-1
class2_250_5_2	51	-1
class2_250_5_3	54	-1
class2_250_5_4	55	-1
class2_250_5_5	54	-1
class2_250_5_6	52	-1
class2_250_5_7	54	-1
class2_250_5_8	53	-1
class2_250_5_9	53	-1
class2_500_5_0	106	-1
class2_500_5_1	105	-1
class2_500_5_2	105	-1
class2_500_5_3	105	-1
class2_500_5_4	106	-1
class2_500_5_5	104	-1
class2_500_5_6	105	-1
class2_500_5_7	103	-1
class2_500_5_8	105	-1
class2_500_5_9	106	-1
class2_20_10_0	6	6
class2_20_10_1	5	5
class2_20_10_2	6	6
class2_20_10_3	5	5
class2_20_10_4	6	6
class2_20_10_5	5	5
class2_20_10_6	6	6
class2_20_10_7	5	6
class2_20_10_8	5	5
class2_20_10_9	5	5
class2_40_10_0	10	10
class2_40_10_1	10	11
class2_40_10_2	10	10
class2_40_10_3	10	10
class2_40_10_4	9	9
class2_40_10_5	9	10
class2_40_10_6	9	10
class2_40_10_7	10	10
class2_40_10_8	10	10
class2_40_10_9	10	10
class2_60_10_0	14	15
class2_60_10_1	13	14
